# ACTS Test Suite Generation: Mon Feb 23 00:13:16 EST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 6
# Number of configurations: 77
file_existence,file_content,lexer,formatter,output,input_source,file_name_format,file_size,input_encoding,style_option,filter,formatter_config,flags
na,na,invalid,omitted,file_path,file_path,special_chars,zero_byte,bom_utf8,omitted,omited,omitted,list_lexers
exists,binary_data,valid_mismatch,omitted,file_path,file_path,special_chars,long_line,invalid,omitted,filter_with_options,omitted,list_formatters
na,na,omitted,html,stdout,file_path,na,zero_byte,utf8_standard,valid_builtin,filter_with_options,conflicting_options,highlight_info
exists,invalid_syntax,ambiguous,terminal256,nonexistent_dir,file_path,standard_ext,massive,utf8_standard,custom_style,valid_filter,invalid_key,none
missing,na,valid_match,omitted,stdout,file_path,na,na,utf8_standard,omitted,omited,omitted,list_styles
missing,na,invalid,omitted,stdout,file_path,na,na,utf16_bom,omitted,valid_filter,omitted,highlight_info
missing,na,valid_match,latex,stdout,file_path,na,na,bom_utf8,invalid_style,chained_filters,omitted,highlight_info
exists,valid_syntax,ambiguous,invalid,file_path,file_path,no_ext,na,ascii_only,invalid_style,filter_with_options,omitted,none
na,unicode_mixed,valid_mismatch,html,nonexistent_dir,file_path,standard_ext,typical,utf16_bom,invalid_style,raise_on_error,valid_config,none
missing,na,invalid,terminal256,file_path,file_path,no_ext,na,ascii_only,valid_builtin,raise_on_error,malformed_syntax,none
exists,unicode_mixed,invalid,html,file_path,file_path,no_ext,long_line,ascii_only,invalid_style,omited,conflicting_options,none
missing,na,invalid,html,nonexistent_dir,file_path,special_chars,na,utf8_standard,valid_builtin,valid_filter,omitted,none
missing,na,omitted,terminal256,file_path,file_path,special_chars,na,bom_utf8,invalid_style,omited,omitted,guess_lexer
na,na,invalid,terminal256,nonexistent_dir,file_path,no_ext,typical,utf16_bom,omitted,filter_with_options,invalid_key,list_styles
missing,na,omitted,html,nonexistent_dir,file_path,special_chars,na,no_declaration,custom_style,valid_filter,conflicting_options,guess_lexer
na,binary_data,omitted,html,file_path,file_path,special_chars,buffer_boundary,invalid,valid_builtin,filter_with_options,valid_config,guess_lexer
exists,binary_data,valid_match,latex,stdout,file_path,na,zero_byte,invalid,omitted,valid_filter,valid_config,highlight_info
na,binary_data,valid_match,html,stdout,stdin,na,na,invalid,valid_builtin,omited,invalid_key,highlight_info
na,na,valid_match,latex,file_path,file_path,special_chars,long_line,ascii_only,omitted,filter_with_options,malformed_syntax,list_styles
missing,na,omitted,omitted,file_path,file_path,standard_ext,na,no_declaration,omitted,valid_filter,omitted,list_formatters
missing,na,invalid,terminal256,restricted,file_path,na,na,utf16_bom,invalid_style,chained_filters,valid_config,none
missing,na,omitted,latex,nonexistent_dir,file_path,no_ext,na,ascii_only,omitted,valid_filter,invalid_key,list_styles
missing,na,invalid,invalid,stdout,file_path,na,na,ascii_only,omitted,filter_with_options,omitted,none
na,valid_syntax,valid_mismatch,terminal256,file_path,stdin,na,na,utf16_bom,custom_style,valid_filter,valid_config,none
na,invalid_syntax,ambiguous,latex,stdout,stdin,na,na,bom_utf8,omitted,raise_on_error,conflicting_options,list_styles
na,na,valid_match,omitted,restricted,stdin,na,na,no_declaration,omitted,omited,omitted,list_lexers
na,unicode_mixed,omitted,omitted,file_path,stdin,na,na,invalid,omitted,filter_with_options,omitted,list_formatters
na,na,omitted,terminal256,file_path,stdin,na,na,utf8_standard,custom_style,valid_filter,invalid_key,guess_lexer
