# ACTS Test Suite Generation: Thu Feb 19 22:44:28 EST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 11
# Maximum number of values per parameter: 4
# Number of configurations: 110
file_existence,file_content,lexer,formatter,output,input_encoding,filters,input,file_name_format,file_size_shape,style_option
na,na,valid_mismatch,omitted,file_path,utf8_standard_text,valid_filter,file_path,no_extension,long_line,valid_builtin
na,na,valid_mismatch,valid,stdout,invalid_bytes,raise_on_error,file_path,special_chars,long_line,valid_builtin
na,na,valid_mismatch,invalid,restricted,utf16_byte_order_mark,raise_on_error,stdin,na,na,invalid
na,na,invalid,invalid,file_path,invalid_bytes,raise_on_error,file_path,standard_extension,massive_file,invalid
na,na,invalid,valid,stdout,utf8_standard_text,valid_filter,file_path,no_extension,standard,invalid
na,na,invalid,omitted,restricted,utf16_byte_order_mark,valid_filter,file_path,special_chars,long_line,valid_builtin
na,na,invalid,invalid,stdout,utf8_standard_text,ommited,stdin,na,na,valid_builtin
na,na,valid_mismatch,omitted,stdout,utf8_standard_text,valid_filter,file_path,standard_extension,massive_file,invalid
exists,invalid_syntax,omitted,valid,file_path,utf8_standard_text,ommited,file_path,special_chars,massive_file,invalid
na,invalid_syntax,omitted,omitted,restricted,utf8_standard_text,valid_filter,file_path,no_extension,long_line,valid_builtin
exists,valid_syntax,omitted,omitted,restricted,invalid_bytes,valid_filter,file_path,special_chars,standard,invalid
exists,valid_syntax,invalid,valid,file_path,utf8_standard_text,raise_on_error,file_path,standard_extension,na,valid_builtin
exists,invalid_syntax,valid_mismatch,valid,stdout,utf16_byte_order_mark,ommited,file_path,standard_extension,na,invalid
missing,na,omitted,invalid,file_path,utf16_byte_order_mark,ommited,file_path,standard_extension,na,valid_builtin
na,valid_syntax,valid_mismatch,omitted,stdout,invalid_bytes,valid_filter,file_path,no_extension,na,invalid
na,invalid_syntax,omitted,valid,file_path,utf8_standard_text,ommited,file_path,no_extension,na,valid_builtin
missing,na,valid_match,omitted,stdout,invalid_bytes,raise_on_error,file_path,no_extension,na,invalid
na,valid_syntax,invalid,valid,file_path,invalid_bytes,ommited,file_path,special_chars,na,valid_builtin
na,invalid_syntax,valid_mismatch,invalid,stdout,utf8_standard_text,ommited,file_path,special_chars,na,invalid
missing,na,valid_mismatch,valid,restricted,utf8_standard_text,valid_filter,file_path,special_chars,na,valid_builtin
na,na,valid_match,invalid,file_path,utf16_byte_order_mark,ommited,file_path,no_extension,standard,valid_builtin
exists,invalid_syntax,valid_match,valid,file_path,utf16_byte_order_mark,raise_on_error,file_path,special_chars,long_line,valid_builtin
missing,na,invalid,omitted,stdout,utf8_standard_text,ommited,file_path,standard_extension,na,invalid
missing,na,valid_match,valid,restricted,utf16_byte_order_mark,valid_filter,file_path,standard_extension,na,invalid
missing,na,valid_mismatch,invalid,stdout,invalid_bytes,raise_on_error,file_path,standard_extension,na,valid_builtin
